name,description,weather
Tiramisu,"A traditional Italian dessert made with layers of espresso-soaked ladyfingers, mascarpone cheese, and a dusting of cocoa powder.",All Seasons
Mozzarella Sticks,Crispy breaded mozzarella cheese sticks served with marinara dipping sauce.,All Seasons
Grilled Salmon,"Fresh salmon fillet grilled to perfection, served with steamed vegetables and",All Seasons
Caprese Salad,"Sliced tomatoes and fresh mozzarella, topped with basil leaves, drizzled with balsamic reduction, and sprinkled with sea salt.",Summer
Caesar Salad,"Fresh Romaine lettuce, croutons, and Caesar dressing",Summer
Vegetarian Stir Fry,"A medley of fresh vegetables stir-fried in a savory soy-ginger sauce, served with jasmine rice.",All Seasons
Margarita Pizza,"A classic pizza topped with fresh tomatoes, mozzarella, and basil",All Seasons
Hotdogs,Hot Pizza,Winter
Berry Fruit Tart,"A crisp pastry crust filled with creamy custard and topped with a variety of fresh, seasonal berries like strawberries, blueberries, and raspberries.",Summer
Chocolate Lava Cake,"A warm, gooey chocolate cake with a molten center, served with a scoop of vanilla ice cream and drizzled with chocolate syrup.",Winter
Classic Cheesecake,"A rich and creamy cheesecake on a graham cracker crust, topped with a smooth berry compote and whipped cream.",All Seasons
Chicken Alfredo,Grilled chicken served with creamy Alfredo pasta,Winter
Gajar Ka Halwa,"A traditional Indian dessert of grated carrots slow-cooked in milk and sugar, garnished with nuts.",Winter
Beef Pulao,"Aromatic basmati rice cooked with tender beef pieces and a blend of spices, creating a flavorful one-pot meal.",Winter
Masala Chai,"Spiced Indian tea brewed with milk and a signature blend of warming spices like cardamom, cinnamon, and ginger.",Winter
Kulfi,"A traditional frozen dessert, denser and creamier than ice cream, available in flavors like mango or pistachio.",Summer
Water Melon Juice,"A naturally sweet and hydrating juice made from fresh watermelon, perfect for summer",Summer
Samosas,"Crispy, deep-fried pastry pockets filled with a spicy mix of potatoes, peas, and sometimes meat.",Rainy
Chicken Corn Soup,"A comforting soup featuring tender chicken pieces and sweet corn in a flavorful broth, ideal for rainy days.",Winter
Quinoa & Avocado Salad,"A healthy combination of quinoa, creamy avocado, chickpeas, and fresh veggies, tossed in a light lemon vinaigrette",Summer
Chicken Alfredo Pasta,Creamy Alfredo pasta topped with tender grilled chicken and Parmesan cheese.,Winter
Beef Steak,"Juicy, tender steak cooked to your preference, served with mashed potatoes and gravy.",Winter
Stuffed Jalapeños,"Jalapeños stuffed with cream cheese, coated in breadcrumbs, and deep-fried to perfection.",Rainy
Pakoras,A variety of vegetables dipped in a seasoned gram flour batter and deep-fried to golden perfection.,Rainy
Garlic Breadsticks,"Warm breadsticks topped with garlic butter and herbs, served with marinara sauce.",All Seasons
Nihari,"A rich, slow-cooked beef or lamb stew served for breakfast or dinner, featuring deep, spiced flavors.",Winter
Haleem,"A slow-cooked, hearty stew made with wheat, barley, lentils, and tender meat, simmered with traditional spices.",Winter
Cucumber Raita,A cooling yogurt-based side dish mixed with crisp cucumber and a touch of spices.,Summer
Mango Lassi,"A sweet, creamy mango-flavored yogurt drink that’s refreshing on a hot summer day.",Summer
Hot Chocolate,"A warm, creamy beverage made with rich cocoa and milk, perfect for cozying up in the rain.",Rainy
Fruit Chat,"A vibrant mix of seasonal fruits tossed with a hint of chaat masala for a tangy, refreshing snack.",Summer
Seekh Kebab,"Skewered, spiced minced meat grilled to perfection, offering a burst of flavor in every bite.",All Seasons
Grilled Corn,"Sweet corn on the cob grilled with a light butter and herb seasoning, a perfect side or snack.",Rainy
Veggie Skewers,"A medley of marinated vegetables, grilled on skewers for a healthy, flavorful treat.",All Seasons
Greek Salad,"A vibrant mix of cucumbers, tomatoes, Kalamata olives, red onions, and feta cheese, drizzled with olive oil and oregano dressing.",Summer
BBQ Chicken,"Juicy chicken marinated in a tangy barbecue sauce and grilled to create a smoky, savory dish.",All Seasons
Fish Tikka,"Tender pieces of fish marinated in a blend of spices and yogurt, then grilled to a delicious finish.",All Seasons
